[9, 10]
[10, 18]
[20, 27]
[30, 36]
[40, 45]
[50, 54]
[60, 63]
[70, 72]
[80, 81]
[90, 90]
[99, 100]
[100, 108]
[110, 117]
[120, 126]
[130, 135]
[140, 144]
[150, 153]
[160, 162]
[170, 171]
[180, 180]
[189, 190]
[190, 198]
[200, 207]
[210, 216]
[220, 225]
[230, 234]
[240, 243]
[250, 252]
[260, 261]
[270, 270]
[279, 280]
[280, 288]
[290, 297]
[300, 306]
[310, 315]
[320, 324]
[330, 333]
[340, 342]
[350, 351]
[360, 360]
[369, 370]
[370, 378]
[380, 387]
[390, 396]
[400, 405]
[410, 414]
[420, 423]
[430, 432]
[440, 441]
[450, 450]
[459, 460]
[460, 468]
[470, 477]
[480, 486]
[490, 495]
[500, 504]
[510, 513]
[520, 522]
[530, 531]
[540, 540]
[549, 550]
[550, 558]
[560, 567]
[570, 576]
[580, 585]
[590, 594]
[600, 603]
[610, 612]
[620, 621]
[630, 630]
[639, 640]
[640, 648]
